column_number,column_name
0,Activity ID
1,Activity Date
2,Activity Name
3,Activity Type
4,Activity Description
5,Elapsed Time
6,Distance
7,Max Heart Rate
8,Relative Effort
9,Commute
10,Activity Private Note
11,Activity Gear
12,Filename
13,Athlete Weight
14,Bike Weight
15,Elapsed Time.1
16,Moving Time
17,Distance.1
18,Max Speed
19,Average Speed
20,Elevation Gain
21,Elevation Loss
22,Elevation Low
23,Elevation High
24,Max Grade
25,Average Grade
26,Average Positive Grade
27,Average Negative Grade
28,Max Cadence
29,Average Cadence
30,Max Heart Rate.1
31,Average Heart Rate
32,Max Watts
33,Average Watts
34,Calories
35,Max Temperature
36,Average Temperature
37,Relative Effort.1
38,Total Work
39,Number of Runs
40,Uphill Time
41,Downhill Time
42,Other Time
43,Perceived Exertion
44,Type
45,Start Time
46,Weighted Average Power
47,Power Count
48,Prefer Perceived Exertion
49,Perceived Relative Effort
50,Commute.1
51,Total Weight Lifted
52,From Upload
53,Grade Adjusted Distance
54,Weather Observation Time
55,Weather Condition
56,Weather Temperature
57,Apparent Temperature
58,Dewpoint
59,Humidity
60,Weather Pressure
61,Wind Speed
62,Wind Gust
63,Wind Bearing
64,Precipitation Intensity
65,Sunrise Time
66,Sunset Time
67,Moon Phase
68,Bike
69,Gear
70,Precipitation Probability
71,Precipitation Type
72,Cloud Cover
73,Weather Visibility
74,UV Index
75,Weather Ozone
76,Jump Count
77,Total Grit
78,Average Flow
79,Flagged
80,Average Elapsed Speed
81,Dirt Distance
82,Newly Explored Distance
83,Newly Explored Dirt Distance
84,Activity Count
85,Total Steps
86,Carbon Saved
87,Pool Length
88,Training Load
89,Intensity
90,Average Grade Adjusted Pace
91,Timer Time
92,Total Cycles
93,Recovery
94,With Pet
95,Competition
96,Long Run
97,For a Cause
98,With Kid
99,Downhill Distance
100,Total Sets
101,Total Reps
102,Media
