Activity Date,Activity Name,Distance,Moving Time,Average Speed,Elevation Gain,Average Grade,Max Grade,Average Heart Rate,Max Heart Rate,Relative Effort,Average Cadence,Calories,Average Temperature,Dirt Distance,Moving Time Minutes,Pace Min Per KM,Run Type,Year,Month,Efficiency
2026-04-17 14:19:24,Afternoon Trail Run,5.09,2291.0,2.222,187.0,-0.1,48.9,131.0,158.0,22.0,79.0,328.0,24.0,456.1,38.18,7.5,Trail,2026,4,0.982
2026-04-16 14:44:10,Afternoon Trail Run,7.05,3498.0,2.016,300.0,0.0,47.7,131.0,164.0,31.0,74.0,464.0,23.0,6165.7,58.3,8.27,Trail,2026,4,1.083
2026-04-15 07:57:15,Morning Run,8.2,3175.0,2.583,79.0,0.0,25.5,150.0,169.0,86.0,82.0,479.0,22.0,7489.0,52.92,6.45,Road,2026,4,0.968
2026-04-14 09:04:17,Lunch Run,7.13,2455.0,2.907,6.0,0.0,15.4,147.0,158.0,61.0,83.0,406.0,23.0,7063.6,40.92,5.74,Road,2026,4,0.844
2026-04-11 14:32:40,Afternoon Run,9.04,4453.0,2.03,273.0,-0.5,49.6,143.0,170.0,84.0,78.0,606.0,22.0,6762.5,74.22,8.21,Road,2026,4,1.174
2026-04-10 14:34:57,Afternoon Run,6.75,2630.0,2.569,127.0,0.0,22.5,137.0,152.0,34.0,82.0,384.0,25.0,0.0,43.83,6.49,Road,2026,4,0.889
2026-04-09 10:45:45,Afternoon Run,7.5,2429.0,3.088,55.0,-0.1,14.3,154.0,165.0,79.0,84.0,402.0,25.0,0.0,40.48,5.4,Road,2026,4,0.832
2026-04-08 10:00:50,Afternoon Run,5.11,1826.0,2.802,4.0,-0.1,2.3,138.0,161.0,29.0,84.0,287.0,31.0,0.0,30.43,5.95,Road,2026,4,0.821
2026-04-07 10:25:28,Afternoon Run,2.47,1001.0,2.473,26.0,0.1,11.0,138.0,155.0,14.0,83.0,158.0,29.0,0.0,16.68,6.75,Road,2026,4,0.932
2026-04-06 16:45:14,Evening Run,3.03,1275.0,2.378,32.0,-0.1,12.1,144.0,157.0,30.0,83.0,193.0,19.0,0.0,21.25,7.01,Road,2026,4,1.009
2026-03-29 06:34:17,Krokodeilos trail 21km,20.74,11372.0,1.824,1326.0,0.0,50.0,161.0,189.0,479.0,70.0,1633.0,21.0,13437.7,189.53,9.14,Trail,2026,3,1.472
2026-03-27 11:30:30,Afternoon Trail Run,3.69,1697.0,2.178,170.0,-0.1,50.0,134.0,159.0,23.0,69.0,220.0,20.0,2508.6,28.28,7.66,Trail,2026,3,1.026
2026-03-26 11:31:54,Afternoon Trail Run,6.0,2764.0,2.171,255.0,0.0,46.9,134.0,167.0,33.0,74.0,375.0,25.0,4863.4,46.07,7.68,Trail,2026,3,1.029
2026-03-25 10:41:18,Lunch Run,8.04,3286.0,2.447,40.0,0.1,19.4,144.0,160.0,71.0,83.0,475.0,22.0,1316.3,54.77,6.81,Road,2026,3,0.981
2026-03-22 10:02:02,Half marathon Warsow,21.31,6221.0,3.426,81.0,0.0,5.6,158.0,175.0,230.0,89.0,1155.0,20.0,0.0,103.68,4.87,Road,2026,3,0.769
2026-03-21 07:14:55,Morning Run,5.98,2263.0,2.646,49.0,0.0,42.2,140.0,156.0,38.0,85.0,363.0,17.0,1397.0,37.72,6.31,Road,2026,3,0.883
2026-03-19 11:32:42,Afternoon Trail Run,8.2,3388.0,2.421,264.0,-0.1,49.5,153.0,185.0,107.0,75.0,533.0,18.0,6972.9,56.47,6.89,Trail,2026,3,1.054
2026-03-17 11:36:35,Afternoon Trail Run,8.43,4006.0,2.105,511.0,0.0,49.6,151.0,180.0,115.0,72.0,590.0,19.0,5799.6,66.77,7.92,Trail,2026,3,1.196
2026-03-16 11:45:41,Afternoon Run,8.31,2864.0,2.905,69.0,0.0,15.9,149.0,172.0,76.0,84.0,470.0,18.0,7534.5,47.73,5.74,Road,2026,3,0.855
2026-03-14 08:09:56,Morning Trail Run,17.1,9969.0,1.716,1324.0,3.4,49.5,147.0,173.0,246.0,69.0,1259.0,16.0,16390.6,166.15,9.72,Trail,2026,3,1.429
2026-03-13 15:21:25,Afternoon Run,9.6,3369.0,2.85,59.0,0.0,16.4,139.0,168.0,55.0,84.0,539.0,19.0,8826.8,56.15,5.85,Road,2026,3,0.813
2026-03-11 12:37:06,Afternoon Trail Run,11.68,4548.0,2.568,351.0,-0.1,17.2,143.0,173.0,87.0,82.0,664.0,22.0,7947.9,75.8,6.49,Trail,2026,3,0.928
2026-03-10 11:49:11,Afternoon Trail Run,8.57,3861.0,2.22,424.0,-0.1,49.5,150.0,187.0,104.0,74.0,561.0,22.0,5820.8,64.35,7.51,Trail,2026,3,1.126
2026-03-09 11:50:40,Afternoon Trail Run,6.0,2643.0,2.274,261.0,0.0,26.7,141.0,161.0,50.0,80.0,376.0,21.0,4385.4,44.05,7.34,Trail,2026,3,1.035
2026-03-08 14:36:24,Afternoon Trail Run,11.3,5727.0,1.973,258.0,0.0,23.0,120.0,140.0,21.0,79.0,618.0,20.0,10395.0,95.45,8.45,Trail,2026,3,1.014
2026-03-07 10:00:03,Lunch Trail Run,8.0,7471.0,1.072,1068.0,0.0,50.0,142.0,166.0,121.0,62.0,898.0,24.0,4267.1,124.52,15.56,Trail,2026,3,2.21
2026-03-06 15:44:15,Afternoon Run,10.51,3465.0,3.034,70.0,0.0,18.6,144.0,173.0,72.0,84.0,583.0,18.0,9724.2,57.75,5.49,Road,2026,3,0.791
2026-03-04 11:33:11,Afternoon Trail Run,15.06,5953.0,2.53,418.0,0.0,25.2,145.0,158.0,136.0,82.0,850.0,25.0,13159.6,99.22,6.59,Trail,2026,3,0.956
2026-03-03 11:30:30,Afternoon Run,9.06,3002.0,3.02,12.0,0.0,40.0,144.0,169.0,61.0,84.0,521.0,24.0,0.0,50.03,5.52,Road,2026,3,0.795
2026-03-02 11:27:02,Afternoon Run,6.6,2392.0,2.762,38.0,0.0,8.4,138.0,153.0,35.0,83.0,361.0,22.0,6582.7,39.87,6.04,Road,2026,3,0.834
2026-03-01 08:35:57,Morning Trail Run,20.0,9655.0,2.072,1025.0,0.0,49.6,147.0,180.0,240.0,75.0,1305.0,21.0,11125.4,160.92,8.05,Trail,2026,3,1.183
2026-02-28 09:34:24,Lunch Trail Run,4.13,3434.0,1.203,614.0,13.9,49.5,136.0,167.0,47.0,63.0,464.0,18.0,2059.1,57.23,13.86,Trail,2026,2,1.885
2026-02-27 16:53:14,Evening Run,7.8,2951.0,2.643,80.0,-0.1,18.9,141.0,168.0,53.0,81.0,465.0,13.0,7139.7,49.18,6.31,Road,2026,2,0.89
2026-02-25 11:04:44,Afternoon Trail Run,12.17,4698.0,2.591,299.0,0.0,30.8,144.0,171.0,101.0,81.0,722.0,22.0,10337.4,78.3,6.43,Trail,2026,2,0.926
